API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
tf.raw_ops.IdentityN.models,13136.0,13635.0,12414.0,12398.0,667.0,1565.0,2170.0,2604.0
tf.raw_ops.Igamma.models,18067.0,18632.0,17876.0,12398.0,556.0,526.0,1023.0,1755.0
tf.raw_ops.IgammaGradA.models,18217.0,18159.0,17886.0,12390.0,443.0,347.0,745.0,1956.0
tf.raw_ops.Imag.models,14049.0,13914.0,12510.0,12397.0,1246.0,1253.0,2099.0,2380.0
tf.raw_ops.InTopKV2.models,13454.0,13130.0,12371.0,12398.0,821.0,1224.0,4.0,1872.0
tf.raw_ops.Invert.models,13447.0,10955.0,12428.0,12391.0,1358.0,2061.0,3182.0,3585.0
tf.raw_ops.IsFinite.models,13641.0,12903.0,12485.0,12398.0,1047.0,904.0,2388.0,2765.0
tf.raw_ops.IsInf.models,14439.0,14300.0,13204.0,12398.0,1251.0,1172.0,2961.0,3605.0
tf.raw_ops.IsNan.models,13768.0,13080.0,11261.0,10998.0,1431.0,1254.0,3448.0,3981.0
tf.raw_ops.LRN.models,14957.0,4564.0,14579.0,14575.0,1079.0,6.0,2308.0,2700.0
tf.raw_ops.LeakyRelu.models,14397.0,12675.0,11770.0,10999.0,1807.0,2286.0,3593.0,4028.0
tf.raw_ops.LeakyReluGrad.models,14397.0,12380.0,13756.0,10999.0,737.0,17.0,3157.0,3661.0
tf.raw_ops.LeftShift.models,13847.0,12278.0,14065.0,10999.0,512.0,354.0,2701.0,3085.0
tf.raw_ops.Less.models,14529.0,12874.0,14241.0,10999.0,555.0,109.0,2866.0,3616.0
tf.raw_ops.LessEqual.models,14320.0,14360.0,13688.0,12400.0,1087.0,1037.0,2544.0,2936.0
tf.raw_ops.Lgamma.models,15315.0,15295.0,14205.0,12398.0,1205.0,1235.0,1936.0,2349.0
tf.raw_ops.ListDiff.models,13623.0,13711.0,12396.0,12398.0,805.0,1544.0,5.0,2588.0
tf.raw_ops.Log.models,14171.0,13597.0,12673.0,12398.0,1681.0,1677.0,2389.0,2686.0
tf.raw_ops.Log1p.models,14140.0,14141.0,12642.0,12397.0,1146.0,1117.0,1730.0,2009.0
tf.raw_ops.LogSoftmax.models,16158.0,16215.0,14163.0,10998.0,1136.0,1358.0,2255.0,2775.0
tf.raw_ops.LogicalAnd.models,13821.0,11210.0,14045.0,10999.0,231.0,20.0,523.0,3264.0
tf.raw_ops.LogicalNot.models,11973.0,9482.0,11344.0,10999.0,1287.0,1986.0,3494.0,3599.0
tf.raw_ops.LogicalOr.models,14520.0,12769.0,14120.0,10998.0,621.0,256.0,795.0,3378.0
tf.raw_ops.LowerBound.models,12684.0,13548.0,15788.0,12397.0,143.0,1706.0,386.0,2622.0
tf.raw_ops.MatMul.models,16046.0,14016.0,16439.0,10999.0,1120.0,788.0,2208.0,2695.0
tf.raw_ops.MatrixDiagPartV3.models,13619.0,13304.0,8896.0,12382.0,1205.0,1196.0,1.0,2642.0
tf.raw_ops.MatrixDiagV3.models,13536.0,13721.0,8894.0,12398.0,1097.0,1124.0,1.0,2522.0
tf.raw_ops.MatrixSetDiagV3.models,13704.0,13725.0,14160.0,12400.0,1026.0,956.0,24.0,2047.0
tf.raw_ops.Max.models,13445.0,13722.0,14714.0,12397.0,929.0,988.0,187.0,2538.0
tf.raw_ops.MaxPool.models,13641.0,13612.0,13838.0,12399.0,1630.0,1665.0,2173.0,2679.0
tf.raw_ops.MaxPool3D.models,13079.0,13627.0,14451.0,12398.0,695.0,1065.0,1455.0,1853.0
