API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
torch.Tensor.clamp_.models,37954.0,37654.0,37765.0,36870.0,84.0,108.0,101.0,235.0
torch.Tensor.clamp_max.models,37978.0,37559.0,37712.0,36869.0,107.0,127.0,52.0,228.0
torch.Tensor.sqrt_.models,38041.0,37516.0,37627.0,36867.0,1294.0,1926.0,70.0,9926.0
torch.Tensor.clamp_max_.models,38016.0,37608.0,37701.0,36860.0,91.0,107.0,54.0,195.0
torch.Tensor.squeeze.models,38119.0,37618.0,37817.0,37764.0,989.0,1685.0,418.0,9335.0
torch.Tensor.clamp_min.models,38024.0,37628.0,37698.0,36872.0,153.0,151.0,54.0,349.0
torch.Tensor.squeeze_.models,37626.0,37535.0,37639.0,36864.0,1062.0,1477.0,58.0,8713.0
torch.Tensor.sub.models,38252.0,37424.0,37487.0,36848.0,990.0,1626.0,68.0,8907.0
torch.Tensor.clamp_min_.models,38020.0,37601.0,37692.0,36874.0,153.0,204.0,46.0,620.0
torch.Tensor.sub_.models,38416.0,,38411.0,36862.0,706.0,,135.0,10713.0
torch.Tensor.conj.models,37990.0,36749.0,37716.0,36871.0,125.0,146.0,80.0,263.0
torch.Tensor.sum.models,38038.0,37645.0,37933.0,37907.0,1164.0,1550.0,84.0,87.0
torch.Tensor.conj_physical.models,37600.0,37462.0,36944.0,36856.0,97.0,102.0,75.0,178.0
torch.Tensor.swapaxes_.models,38145.0,37552.0,37711.0,36851.0,1122.0,2047.0,64.0,9335.0
torch.Tensor.copysign.models,37993.0,37996.0,36950.0,36859.0,44.0,62.0,46.0,182.0
torch.Tensor.swapdims_.models,38234.0,37670.0,37730.0,36847.0,1226.0,2396.0,68.0,10421.0
torch.Tensor.corrcoef.models,38264.0,37708.0,36907.0,36874.0,147.0,254.0,11.0,364.0
torch.Tensor.t.models,38183.0,37290.0,37742.0,36836.0,711.0,439.0,77.0,7159.0
torch.Tensor.cos.models,37992.0,36908.0,36955.0,36851.0,109.0,105.0,93.0,232.0
torch.Tensor.cos_.models,37920.0,37504.0,37633.0,36855.0,91.0,101.0,60.0,274.0
torch.Tensor.t_.models,38087.0,37185.0,36934.0,36857.0,684.0,666.0,83.0,8818.0
torch.Tensor.cosh.models,38029.0,36914.0,36955.0,36857.0,145.0,143.0,69.0,280.0
torch.Tensor.tan.models,37569.0,36930.0,36945.0,36863.0,1019.0,1300.0,91.0,8967.0
torch.Tensor.tan_.models,37968.0,37506.0,37618.0,36835.0,1115.0,943.0,45.0,9025.0
torch.Tensor.cosh_.models,37910.0,37491.0,37644.0,36874.0,85.0,99.0,89.0,168.0
torch.Tensor.tanh.models,37950.0,36918.0,36928.0,36860.0,1137.0,1428.0,44.0,9856.0
torch.Tensor.count_nonzero.models,38100.0,37776.0,36938.0,36878.0,202.0,200.0,56.0,1154.0
torch.Tensor.tanh_.models,37977.0,37496.0,37626.0,36855.0,1234.0,2072.0,123.0,9220.0
torch.Tensor.cov.models,38202.0,38008.0,36953.0,36853.0,92.0,110.0,78.0,199.0
torch.Tensor.true_divide_.models,38407.0,38202.0,38042.0,36802.0,857.0,1472.0,146.0,9022.0
torch.Tensor.cummax.models,37986.0,37551.0,36940.0,36867.0,93.0,73.0,60.0,278.0
torch.Tensor.trunc_.models,37933.0,37517.0,37631.0,36860.0,1110.0,1310.0,78.0,8907.0
torch.Tensor.cummin.models,37960.0,37556.0,36945.0,36863.0,95.0,70.0,65.0,282.0
torch.Tensor.cumprod.models,38019.0,37661.0,36949.0,36860.0,99.0,117.0,68.0,273.0
torch.Tensor.xlogy_.models,38415.0,38177.0,37661.0,36863.0,696.0,216.0,64.0,8723.0
torch._C._fft.fft_fft.models,38286.0,37737.0,37867.0,36858.0,1691.0,4546.0,160.0,20870.0
torch.Tensor.cumsum.models,38023.0,37655.0,36961.0,36863.0,91.0,87.0,76.0,164.0
torch.Tensor.cumsum_.models,38074.0,37663.0,37723.0,36852.0,151.0,121.0,64.0,219.0
torch._C._fft.fft_fft2.models,38367.0,,37930.0,36862.0,1337.0,,126.0,20863.0
torch.Tensor.deg2rad.models,37868.0,37511.0,36957.0,36852.0,67.0,78.0,132.0,152.0
torch._C._fft.fft_fftshift.models,38050.0,,37858.0,36851.0,1155.0,,83.0,9705.0
torch.Tensor.det.models,38019.0,37595.0,36934.0,36858.0,93.0,80.0,40.0,311.0
torch._C._fft.fft_hfft.models,38245.0,,37921.0,36859.0,1091.0,,111.0,18457.0
torch.Tensor.diag_embed.models,38074.0,37586.0,36958.0,36873.0,79.0,21.0,51.0,205.0
torch._C._fft.fft_hfft2.models,38042.0,,37996.0,36864.0,1035.0,,250.0,20941.0
torch.Tensor.diagonal.models,38198.0,37771.0,37853.0,36871.0,185.0,173.0,49.0,386.0
torch._C._fft.fft_ifft.models,38381.0,,37923.0,36861.0,1480.0,,113.0,18306.0
torch._C._fft.fft_ifft2.models,33564.0,37925.0,37946.0,36841.0,1.0,23.0,110.0,18130.0
torch.Tensor.diff.models,38105.0,38159.0,36945.0,36869.0,75.0,81.0,74.0,163.0
torch.Tensor.digamma.models,37912.0,37560.0,36926.0,36861.0,105.0,125.0,29.0,271.0
torch._C._fft.fft_ihfftn.models,38187.0,37713.0,37951.0,36860.0,1152.0,1296.0,127.0,15675.0
torch.Tensor.digamma_.models,37945.0,37522.0,36955.0,36860.0,114.0,109.0,70.0,224.0
torch._C._fft.fft_irfft.models,38236.0,,37856.0,36829.0,1419.0,,178.0,19038.0
torch.Tensor.dist.models,38176.0,38072.0,36951.0,36873.0,94.0,205.0,32.0,201.0
torch._C._linalg.linalg_matrix_norm.models,38138.0,31976.0,37896.0,36844.0,411.0,33.0,61.0,10340.0
torch.Tensor.div.models,38136.0,37533.0,37880.0,36861.0,143.0,94.0,55.0,339.0
torch._C._linalg.linalg_matrix_power.models,38465.0,38154.0,37737.0,36858.0,570.0,330.0,64.0,10417.0
torch.Tensor.div_.models,38046.0,38207.0,38444.0,36874.0,159.0,288.0,151.0,511.0
torch._C._linalg.linalg_matrix_rank.models,38310.0,37896.0,36951.0,36864.0,569.0,9.0,120.0,30188.0
torch.Tensor.divide.models,38203.0,37098.0,36960.0,36861.0,145.0,92.0,103.0,502.0
torch._C._linalg.linalg_pinv.models,38437.0,38156.0,37858.0,36857.0,387.0,19.0,211.0,20469.0
torch.Tensor.divide_.models,38323.0,38214.0,36942.0,36860.0,106.0,764.0,55.0,255.0
torch._C._nn.softshrink.models,38149.0,37575.0,37697.0,36861.0,1993.0,737.0,110.0,20924.0
torch.Tensor.dot.models,38205.0,37751.0,36936.0,36870.0,206.0,2320.0,43.0,381.0
torch._C._nn.upsample_bicubic2d.models,38225.0,37580.0,37886.0,36843.0,655.0,2037.0,122.0,10374.0
torch.Tensor.dsplit.models,38127.0,37685.0,36939.0,36852.0,114.0,825.0,60.0,246.0
torch._C._nn.upsample_linear1d.models,38207.0,37586.0,37835.0,36847.0,626.0,2750.0,69.0,10438.0
torch.Tensor.eq.models,38116.0,37418.0,37400.0,36866.0,106.0,139.0,65.0,177.0
torch.Tensor.erf.models,37921.0,36905.0,36940.0,36856.0,82.0,69.0,48.0,166.0
torch._C._nn.upsample_nearest1d.models,38243.0,37567.0,37863.0,36864.0,867.0,77.0,97.0,10295.0
torch.Tensor.erf_.models,37879.0,37449.0,37638.0,36855.0,49.0,49.0,84.0,184.0
torch.Tensor.erfc.models,37994.0,36893.0,36935.0,36870.0,102.0,111.0,45.0,235.0
torch._C._nn.upsample_nearest3d.models,38269.0,37708.0,37907.0,36859.0,485.0,1939.0,68.0,10761.0
torch.Tensor.erfc_.models,37965.0,37472.0,37630.0,36858.0,67.0,56.0,72.0,172.0
torch.bitwise_or.models,38152.0,32061.0,38036.0,36861.0,122.0,3.0,70.0,10929.0
torch.Tensor.erfinv.models,37896.0,37507.0,36959.0,36856.0,59.0,86.0,67.0,172.0
torch.bitwise_right_shift.models,38195.0,38038.0,38024.0,36840.0,1589.0,2141.0,326.0,34149.0
torch.Tensor.erfinv_.models,37981.0,37510.0,37655.0,36864.0,64.0,69.0,188.0,147.0
torch.bitwise_xor.models,38168.0,38125.0,38061.0,36831.0,2307.0,3460.0,253.0,38034.0
torch.Tensor.exp.models,37919.0,36834.0,36976.0,36863.0,77.0,45.0,76.0,183.0
torch.bmm.models,38053.0,37951.0,37995.0,36864.0,1041.0,562.0,87.0,15722.0
torch.Tensor.exp2.models,37927.0,37542.0,36951.0,36858.0,109.0,108.0,89.0,240.0
torch.Tensor.exp_.models,37888.0,37467.0,37638.0,36866.0,86.0,96.0,47.0,218.0
torch.broadcast_to.models,38245.0,37741.0,36956.0,36852.0,237.0,79.0,115.0,9254.0
torch.bucketize.models,38242.0,38018.0,38040.0,36860.0,1489.0,712.0,183.0,32772.0
torch.Tensor.expand.models,38329.0,36810.0,37357.0,37253.0,226.0,94.0,593.0,270.0
torch.ceil.models,38086.0,37928.0,36963.0,36873.0,2399.0,1121.0,203.0,20319.0
torch.Tensor.expand_as.models,38252.0,38018.0,38137.0,36855.0,123.0,62.0,88.0,260.0
torch.Tensor.expm1.models,37991.0,36883.0,36972.0,36851.0,101.0,94.0,119.0,245.0
torch.cholesky.models,37911.0,,37698.0,36843.0,1041.0,,320.0,19199.0
torch.cholesky_inverse.models,38009.0,,36947.0,36858.0,701.0,,136.0,15923.0
torch.Tensor.expm1_.models,37931.0,37501.0,37595.0,36854.0,102.0,95.0,33.0,237.0
torch.chunk.models,38254.0,37788.0,36941.0,36865.0,1246.0,1015.0,38.0,10921.0
torch.Tensor.fill_.models,37991.0,37589.0,37752.0,36874.0,126.0,143.0,175.0,340.0
torch.Tensor.flatten.models,38140.0,37676.0,37823.0,37765.0,103.0,536.0,67.0,39.0
torch.clamp.models,38402.0,,38133.0,36860.0,2987.0,,194.0,40909.0
torch.Tensor.flip.models,37997.0,37603.0,37809.0,36857.0,81.0,140.0,105.0,201.0
torch.clamp_.models,38220.0,,38062.0,36844.0,1430.0,,186.0,18108.0
torch.clamp_max.models,38216.0,38097.0,38122.0,36849.0,2279.0,1293.0,283.0,40393.0
torch.Tensor.fliplr.models,38008.0,37552.0,36940.0,36864.0,103.0,111.0,42.0,242.0
torch.Tensor.flipud.models,38011.0,37563.0,36942.0,36855.0,84.0,81.0,45.0,159.0
torch.clamp_max_.models,38196.0,38034.0,38022.0,36840.0,2880.0,3586.0,161.0,18068.0
torch.clamp_min.models,38238.0,38179.0,38114.0,36843.0,2982.0,2476.0,407.0,39150.0
torch.Tensor.float_power.models,38091.0,37881.0,37736.0,36873.0,78.0,57.0,39.0,132.0
torch.clamp_min_.models,38206.0,37618.0,37997.0,36859.0,1643.0,2845.0,103.0,16364.0
torch.Tensor.float_power_.models,38071.0,37609.0,37714.0,36863.0,115.0,494.0,32.0,227.0
torch.Tensor.floor.models,37984.0,36900.0,36951.0,36862.0,92.0,113.0,100.0,229.0
torch.combinations.models,38420.0,37891.0,36939.0,36859.0,803.0,123.0,54.0,11518.0
torch.Tensor.floor_.models,37910.0,37512.0,37626.0,36864.0,80.0,109.0,81.0,195.0
torch.complex.models,37926.0,37760.0,38056.0,36848.0,203.0,1472.0,126.0,12047.0
torch.Tensor.floor_divide.models,38069.0,37993.0,36940.0,36852.0,144.0,145.0,47.0,144.0
torch.conj.models,38027.0,36747.0,37727.0,36859.0,601.0,947.0,4109.0,7861.0
torch.conj_physical.models,38113.0,37879.0,37650.0,36857.0,1475.0,1076.0,12353.0,20621.0
torch.Tensor.fmax.models,38083.0,38001.0,36944.0,36869.0,109.0,127.0,80.0,326.0
torch.constant_pad_nd.models,38214.0,37643.0,37907.0,36849.0,695.0,462.0,58.0,8327.0
torch.Tensor.fmin.models,38109.0,37901.0,36932.0,36858.0,137.0,23.0,87.0,231.0
torch.Tensor.fmod.models,38099.0,37444.0,36958.0,36858.0,196.0,700.0,110.0,310.0
torch.frac.models,38059.0,37791.0,36982.0,36861.0,647.0,41.0,138.0,9432.0
torch.frexp.models,38066.0,37537.0,37657.0,36859.0,845.0,1632.0,52.0,9670.0
torch.Tensor.fmod_.models,38148.0,37933.0,36939.0,36856.0,121.0,54.0,52.0,250.0
torch.gcd.models,38068.0,37993.0,37990.0,36848.0,362.0,18.0,49.0,5168.0
torch.Tensor.frac.models,37979.0,36840.0,36959.0,36858.0,76.0,73.0,88.0,203.0
torch.ge.models,38175.0,38172.0,37479.0,36858.0,3313.0,2519.0,261.0,38266.0
torch.Tensor.frac_.models,37949.0,37511.0,37637.0,36873.0,146.0,206.0,38.0,590.0
torch.Tensor.frexp.models,37957.0,37488.0,36952.0,36866.0,64.0,63.0,57.0,189.0
torch.gradient.models,38223.0,37791.0,37870.0,36840.0,385.0,1823.0,139.0,22084.0
torch.Tensor.lerp.models,38147.0,37410.0,37485.0,36876.0,107.0,91.0,54.0,568.0
torch.gt.models,38259.0,38150.0,37539.0,37367.0,2415.0,3625.0,18971.0,35469.0
torch.hardshrink.models,38120.0,37832.0,37037.0,36841.0,1914.0,65.0,186.0,17230.0
torch.Tensor.lgamma.models,37955.0,36886.0,36961.0,36879.0,110.0,93.0,71.0,265.0
